"","Strongylus","Cyathostomum","Cylicocyclus","Triodontophorus","Cylicostephanus","Coronocyclus","Petrovinema","Poteriostomum","Gyalocephalus","Parapoteriostomum"
"BZ01",1,1,1,1,1,1,1,1,1,0
"BZ02",0,1,1,1,1,1,1,0,0,0
"BZ03",0,1,1,1,1,1,1,0,0,0
"BZ04",1,1,1,1,1,1,0,1,1,0
"BZ05",1,1,1,1,1,1,0,1,0,0
"BZ06",1,1,1,1,1,0,0,1,1,1
"BZ08",1,1,1,1,1,1,1,0,0,1
"BZ09",0,1,1,1,1,1,1,0,0,0
"BZ10",1,1,1,1,1,1,1,0,0,0
"BZ11",1,0,1,0,1,1,1,1,0,0
"BZ12",1,0,1,0,0,0,1,1,1,0
"BZ13",0,1,1,1,1,1,1,0,0,0
"BZ14",0,1,1,1,1,1,1,0,0,0
"total-hosts",8,11,13,11,12,11,10,6,4,2
